iter	Passed	Remaining
0	45	8999
1	108	10739
2	149	9828
3	198	9715
4	243	9498
5	292	9441
6	348	9596
7	390	9374
8	438	9298
9	483	9182
10	532	9153
11	578	9055
12	630	9066
13	673	8952
14	717	8843
15	760	8746
16	814	8770
17	858	8679
18	893	8512
19	939	8455
20	992	8462
21	1039	8410
22	1092	8405
23	1140	8361
24	1190	8333
25	1246	8338
26	1294	8293
27	1342	8248
28	1389	8193
29	1430	8103
30	1477	8052
31	1528	8026
32	1578	7987
33	1631	7963
34	1685	7946
35	1737	7916
36	1783	7856
37	1834	7822
38	1884	7780
39	1937	7751
40	1992	7727
41	2038	7669
42	2076	7581
43	2132	7559
44	2182	7516
45	2226	7454
46	2276	7410
47	2329	7377
48	2385	7351
49	2437	7312
50	2485	7262
51	2540	7230
52	2590	7184
53	2644	7149
54	2696	7108
55	2747	7065
56	2805	7038
57	2859	7000
58	2908	6951
59	2960	6908
60	3011	6862
61	3055	6800
62	3106	6754
63	3158	6710
64	3215	6677
65	3267	6634
66	3327	6604
67	3379	6560
68	3428	6508
69	3482	6468
70	3535	6424
71	3589	6381
72	3644	6341
73	3693	6289
74	3747	6246
75	3804	6207
76	3855	6158
77	3905	6109
78	3958	6063
79	4005	6008
80	4058	5962
81	4114	5921
82	4167	5874
83	4218	5826
84	4272	5780
85	4328	5737
86	4380	5689
87	4437	5647
88	4490	5599
89	4538	5546
90	4591	5499
91	4644	5452
92	4688	5394
93	4740	5345
94	4793	5297
95	4853	5257
96	4902	5205
97	4953	5155
98	5006	5107
99	5052	5052
100	5106	5005
101	5158	4956
102	5209	4905
103	5253	4849
104	5308	4802
105	5360	4753
106	5409	4701
107	5462	4653
108	5512	4602
109	5565	4553
110	5618	4505
111	5656	4444
112	5713	4399
113	5767	4350
114	5823	4304
115	5871	4251
116	5924	4203
117	5976	4152
118	6025	4101
119	6076	4050
120	6127	4000
121	6174	3947
122	6225	3897
123	6276	3846
124	6327	3796
125	6374	3743
126	6426	3693
127	6473	3641
128	6524	3591
129	6577	3541
130	6623	3488
131	6671	3436
132	6724	3387
133	6776	3337
134	6824	3285
135	6873	3234
136	6926	3185
137	6970	3131
138	7017	3079
139	7066	3028
140	7115	2977
141	7168	2927
142	7219	2877
143	7268	2826
144	7310	2773
145	7361	2722
146	7415	2673
147	7470	2624
148	7524	2575
149	7575	2525
150	7629	2475
151	7679	2425
152	7730	2374
153	7780	2324
154	7832	2273
155	7884	2223
156	7931	2172
157	7974	2119
158	8025	2069
159	8075	2018
160	8133	1970
161	8175	1917
162	8229	1868
163	8277	1817
164	8333	1767
165	8385	1717
166	8436	1667
167	8486	1616
168	8534	1565
169	8588	1515
170	8637	1464
171	8687	1414
172	8734	1363
173	8786	1312
174	8834	1262
175	8889	1212
176	8939	1161
177	8991	1111
178	9047	1061
179	9093	1010
180	9143	959
181	9193	909
182	9248	859
183	9302	808
184	9353	758
185	9405	707
186	9455	657
187	9500	606
188	9544	555
189	9588	504
190	9642	454
191	9694	403
192	9740	353
193	9783	302
194	9841	252
195	9890	201
196	9943	151
197	9993	100
198	10043	50
199	10098	0
