iter	Logloss
0	0.6471862286
1	0.6116621304
2	0.5845393129
3	0.561160232
4	0.5451203262
5	0.5289735995
6	0.5129922242
7	0.4944585965
8	0.480306583
9	0.4692544835
10	0.4623304914
11	0.4546121559
12	0.4485929362
13	0.4439496888
14	0.4409624329
15	0.4373682431
16	0.4343267738
17	0.4325523613
18	0.4305158419
19	0.4286304171
20	0.4265039572
21	0.4247361858
22	0.4233662312
23	0.4221799889
24	0.420847793
25	0.4188879498
26	0.4180448883
27	0.417491608
28	0.4171114488
29	0.4162963991
30	0.4157404299
31	0.4153821738
32	0.4149109766
33	0.4139976345
34	0.4134131211
35	0.4124140029
36	0.4115749056
37	0.4112734998
38	0.4106815886
39	0.4102205535
40	0.4093391129
41	0.4089803575
42	0.408465876
43	0.4078994206
44	0.4075877233
45	0.4073327846
46	0.407108796
47	0.4068535654
48	0.406683383
49	0.4064130027
50	0.4058811114
51	0.4056903833
52	0.4054983175
53	0.4050982365
54	0.4048992872
55	0.4048242226
56	0.4045058122
57	0.4043033878
58	0.4041912968
59	0.4040687293
60	0.4039787074
61	0.4038223037
62	0.40370608
63	0.4037012952
64	0.4035177386
65	0.4034564295
66	0.4033511284
67	0.403350162
68	0.4032666748
69	0.4030628047
70	0.4028072843
71	0.4027934642
72	0.4027381763
73	0.402647866
74	0.4026182363
75	0.4025380835
76	0.402512716
77	0.4024071607
78	0.4023285087
79	0.402161534
80	0.4021197337
81	0.4019640945
82	0.401941171
83	0.401876929
84	0.4017857207
85	0.4015627951
86	0.401461085
87	0.4014405588
88	0.4013698449
89	0.4012844411
90	0.4008405063
91	0.4007892263
92	0.400696231
93	0.4005001458
94	0.4003500071
95	0.4000642219
96	0.3999919088
97	0.3997579176
98	0.3991940755
99	0.3991703995
100	0.3988946081
101	0.3988360893
102	0.3988170179
103	0.3987860961
104	0.39858528
105	0.3983705189
106	0.3983145847
107	0.3983089278
108	0.3982574674
109	0.3982424976
110	0.3981922098
111	0.3981271813
112	0.397910931
113	0.3976967037
114	0.3975444585
115	0.3973834839
116	0.3973373416
117	0.3969110667
118	0.3968662117
119	0.3968537446
120	0.3968132444
121	0.3967774005
122	0.3967495182
123	0.3967250382
124	0.3967035031
125	0.3966927074
126	0.3966618013
127	0.3963279616
128	0.3963087509
129	0.39629986
130	0.3962815431
131	0.3962438164
132	0.3962371338
133	0.3962247005
134	0.3962034636
135	0.3961957443
136	0.3961395362
137	0.3959652092
138	0.3958810543
139	0.395711726
140	0.3956795244
141	0.3955563835
142	0.3954116753
143	0.3953937848
144	0.3952382795
145	0.3950513532
146	0.3949179607
147	0.3949116358
148	0.3949061534
149	0.3947311853
150	0.394688252
151	0.3945302034
152	0.3945246585
153	0.39445852
154	0.394261519
155	0.3942312583
156	0.394204932
157	0.3940221478
158	0.3940013671
159	0.3938534355
160	0.3937605751
161	0.3937472637
162	0.3936020764
163	0.3935857501
164	0.3935530851
165	0.3933976973
166	0.3933760341
167	0.3933512599
168	0.3933273995
169	0.3933273924
170	0.3932959567
171	0.3931464324
172	0.3931247945
173	0.3930845324
174	0.3929682217
175	0.3929604722
176	0.3928072961
177	0.3926865479
178	0.3924902053
179	0.3924417445
180	0.3924117905
181	0.3922877225
182	0.3922718312
183	0.3922545201
184	0.3921882297
185	0.3921820156
186	0.3921349971
187	0.3921349909
188	0.3919833729
189	0.3918262938
190	0.3916975992
191	0.3916898956
192	0.3915618877
193	0.3914901148
194	0.3914721067
195	0.3914720974
196	0.3914683979
197	0.391463203
198	0.3914605622
199	0.3913484075
200	0.3913174738
201	0.3913115087
202	0.3912596262
203	0.3912222673
204	0.3911426553
205	0.3911130218
206	0.3910932258
207	0.3910581959
208	0.3909677292
209	0.3909572107
210	0.3909548606
211	0.3909137849
212	0.3909007975
213	0.3908977763
214	0.3908135963
215	0.3907338349
216	0.3907216137
217	0.3906931436
218	0.3906885762
219	0.3904694513
220	0.3904630911
221	0.3904271034
222	0.3902790788
223	0.3901813244
224	0.3900800539
225	0.3899954837
226	0.3899702462
227	0.3899019979
228	0.3898849676
229	0.3898694282
230	0.3898597911
231	0.3896424649
232	0.3895841286
233	0.3895841197
234	0.3895841157
235	0.3895509047
236	0.3895313187
237	0.3895031446
238	0.3894603422
239	0.3893702594
240	0.3893276811
241	0.3893068411
242	0.3892963901
243	0.3892935287
244	0.389238878
245	0.3892370287
246	0.3890609232
247	0.389049048
248	0.3890490301
249	0.3889939104
250	0.3889612951
251	0.3887693136
252	0.3887533298
253	0.3887466148
254	0.3887102894
255	0.3885864522
256	0.3885565529
257	0.3885510635
258	0.3885187726
259	0.3884716177
260	0.3883648284
261	0.3883448812
262	0.3883295936
263	0.3883136163
264	0.3883110049
265	0.3883048499
266	0.3881698929
267	0.3881400109
268	0.3879956545
269	0.3879295583
270	0.3879036101
271	0.3878912912
272	0.3878702617
273	0.3878479323
274	0.3878382598
275	0.3878199277
276	0.3878094305
277	0.3878060039
278	0.3878031055
279	0.3877124168
280	0.3877102734
281	0.3875779076
282	0.3875530436
283	0.3875359876
284	0.3874794101
285	0.3873780931
286	0.3873631082
287	0.3872433746
288	0.3871779833
289	0.3870961295
290	0.3870301336
291	0.3869277128
292	0.3868261605
293	0.3868153769
294	0.3868116022
295	0.3867332141
296	0.3867292994
297	0.3867192053
298	0.3867048154
299	0.3866900378
300	0.3866008356
301	0.3865645147
302	0.3865345769
303	0.3865328149
304	0.3865300822
305	0.3865159658
306	0.3865062096
307	0.3863634455
308	0.3863466555
309	0.3863391405
310	0.386213492
311	0.3861316176
312	0.3861190609
313	0.3860340916
314	0.3860260308
315	0.3860110554
316	0.3860099811
317	0.3860003808
318	0.3859719077
319	0.3859634524
320	0.3859354943
321	0.3858769252
322	0.3858362608
323	0.3857264566
324	0.3857264562
325	0.3857040644
326	0.3856926779
327	0.3856245731
328	0.3856122801
329	0.3856025855
330	0.3855720938
331	0.3855380532
332	0.3855092707
333	0.3855073623
334	0.3855049095
335	0.3854754157
336	0.385471359
337	0.3854643023
338	0.3853517923
339	0.3853429222
340	0.3852777538
341	0.3852114754
342	0.3852099272
343	0.385199466
344	0.3851941661
345	0.3851935978
346	0.3851878549
347	0.3851795534
348	0.3851487905
349	0.3850452128
350	0.3850428939
351	0.3849353524
352	0.3849288729
353	0.384885155
354	0.3847932293
355	0.3847813108
356	0.3846661571
357	0.3846528602
358	0.3846517562
359	0.3846262935
360	0.3846254652
361	0.3846178324
362	0.384525764
363	0.384479681
364	0.3844062809
365	0.3843948674
366	0.3843762631
367	0.3843290874
368	0.384329084
369	0.3842095978
370	0.3841193987
371	0.3840535292
372	0.3840401391
373	0.3840397943
374	0.3839242345
375	0.3837757312
376	0.3837478333
377	0.3837387287
378	0.3836605654
379	0.3836023598
380	0.3835500413
381	0.3835269163
382	0.3835172053
383	0.383392681
384	0.3832697338
385	0.3832457392
386	0.3831897306
387	0.3831770847
388	0.3830295063
389	0.3829499
390	0.3828436577
391	0.3828275512
392	0.3827381041
393	0.3827197803
394	0.3826526614
395	0.3825331541
396	0.3824935562
397	0.3824806902
398	0.3824519736
399	0.3824447321
