iter	Passed	Remaining
0	11	4416
1	21	4246
2	31	4225
3	45	4534
4	59	4695
5	72	4750
6	85	4820
7	100	4905
8	113	4946
9	127	4990
10	140	4979
11	153	4963
12	165	4935
13	178	4915
14	190	4883
15	202	4871
16	214	4839
17	226	4815
18	238	4788
19	251	4777
20	263	4763
21	276	4746
22	288	4727
23	300	4714
24	313	4706
25	326	4693
26	338	4681
27	350	4660
28	362	4636
29	375	4627
30	386	4606
31	399	4594
32	412	4589
33	426	4588
34	438	4575
35	451	4561
36	463	4551
37	477	4552
38	490	4539
39	503	4532
40	517	4534
41	531	4530
42	544	4522
43	558	4517
44	571	4511
45	585	4503
46	597	4489
47	611	4483
48	624	4469
49	636	4456
50	649	4444
51	661	4427
52	674	4413
53	686	4400
54	699	4386
55	711	4373
56	724	4359
57	740	4369
58	754	4358
59	766	4345
60	778	4328
61	792	4319
62	804	4304
63	817	4291
64	830	4281
65	845	4279
66	858	4267
67	873	4264
68	886	4253
69	902	4252
70	914	4236
71	928	4229
72	941	4218
73	954	4206
74	968	4196
75	980	4181
76	993	4168
77	1007	4160
78	1020	4147
79	1033	4134
80	1045	4119
81	1059	4108
82	1072	4095
83	1086	4088
84	1098	4072
85	1112	4060
86	1126	4051
87	1139	4040
88	1152	4028
89	1166	4018
90	1179	4006
91	1192	3992
92	1206	3981
93	1219	3970
94	1233	3960
95	1245	3944
96	1258	3930
97	1271	3919
98	1285	3908
99	1299	3899
100	1312	3885
101	1324	3869
102	1337	3857
103	1352	3850
104	1365	3837
105	1379	3827
106	1392	3812
107	1405	3799
108	1418	3787
109	1431	3774
110	1444	3760
111	1457	3746
112	1470	3733
113	1483	3722
114	1497	3710
115	1513	3705
116	1527	3694
117	1541	3683
118	1554	3670
119	1568	3660
120	1582	3647
121	1595	3634
122	1607	3621
123	1620	3607
124	1634	3595
125	1647	3582
126	1660	3569
127	1673	3555
128	1685	3541
129	1699	3529
130	1713	3517
131	1745	3544
132	1763	3539
133	1777	3527
134	1790	3514
135	1802	3499
136	1815	3484
137	1829	3474
138	1842	3459
139	1858	3450
140	1873	3442
141	1887	3429
142	1901	3418
143	1919	3411
144	1933	3400
145	1946	3386
146	1959	3373
147	1974	3362
148	1991	3355
149	2004	3341
150	2019	3330
151	2035	3320
152	2053	3314
153	2069	3306
154	2087	3298
155	2109	3299
156	2131	3298
157	2150	3294
158	2175	3297
159	2195	3292
160	2213	3285
161	2228	3273
162	2241	3259
163	2255	3245
164	2268	3230
165	2280	3214
166	2292	3199
167	2306	3185
168	2320	3171
169	2332	3156
170	2346	3142
171	2359	3127
172	2372	3112
173	2385	3097
174	2397	3082
175	2412	3070
176	2425	3056
177	2438	3041
178	2450	3025
179	2462	3010
180	2476	2995
181	2489	2981
182	2502	2967
183	2514	2952
184	2527	2937
185	2540	2922
186	2553	2908
187	2566	2894
188	2579	2879
189	2591	2864
190	2604	2849
191	2616	2835
192	2628	2819
193	2642	2805
194	2655	2792
195	2669	2778
196	2683	2765
197	2696	2750
198	2710	2738
199	2727	2727
200	2739	2712
201	2753	2698
202	2768	2686
203	2795	2685
204	2845	2706
205	2864	2697
206	2881	2686
207	2902	2679
208	2916	2665
209	2930	2651
210	2948	2641
211	2961	2626
212	2976	2612
213	2989	2598
214	3005	2586
215	3019	2572
216	3031	2556
217	3044	2541
218	3057	2526
219	3071	2513
220	3083	2497
221	3096	2482
222	3111	2469
223	3124	2454
224	3137	2440
225	3149	2424
226	3162	2409
227	3175	2395
228	3188	2381
229	3201	2366
230	3215	2352
231	3228	2338
232	3241	2323
233	3254	2309
234	3267	2294
235	3281	2280
236	3294	2265
237	3306	2250
238	3319	2236
239	3332	2221
240	3345	2207
241	3358	2192
242	3371	2178
243	3384	2163
244	3398	2150
245	3412	2135
246	3424	2121
247	3437	2106
248	3449	2092
249	3463	2078
250	3476	2063
251	3488	2048
252	3501	2034
253	3514	2019
254	3527	2005
255	3540	1991
256	3554	1977
257	3567	1963
258	3580	1949
259	3592	1934
260	3604	1919
261	3616	1904
262	3629	1890
263	3642	1876
264	3656	1862
265	3669	1848
266	3682	1834
267	3696	1820
268	3715	1809
269	3729	1795
270	3742	1781
271	3755	1767
272	3768	1753
273	3781	1738
274	3799	1727
275	3815	1714
276	3833	1702
277	3848	1689
278	3861	1674
279	3873	1659
280	3886	1645
281	3906	1634
282	3919	1620
283	3936	1607
284	3953	1595
285	3971	1582
286	3985	1569
287	3998	1555
288	4011	1540
289	4023	1526
290	4036	1511
291	4048	1497
292	4063	1483
293	4076	1469
