iter	Logloss
0	0.6567098348
1	0.6276965929
2	0.6019632433
3	0.5813017612
4	0.562401705
5	0.5468680662
6	0.534082882
7	0.522357225
8	0.5114610678
9	0.5021307626
10	0.4942646027
11	0.4856168377
12	0.4781885338
13	0.4721492493
14	0.4662334722
15	0.4612185856
16	0.4567458359
17	0.4529505203
18	0.4483454675
19	0.4439771797
20	0.4400989003
21	0.4372782445
22	0.4346163546
23	0.4317483902
24	0.4293601836
25	0.4273351722
26	0.4253558613
27	0.423382608
28	0.421348022
29	0.420258091
30	0.4186220808
31	0.4172021948
32	0.4161006446
33	0.4150539502
34	0.4138702042
35	0.4129020878
36	0.4119756095
37	0.4112220561
38	0.4103981356
39	0.409699771
40	0.4087944721
41	0.4080505744
42	0.4075505945
43	0.4069172433
44	0.4061431332
45	0.405558316
46	0.4052054604
47	0.4045643881
48	0.4042541363
49	0.4038638422
50	0.403419968
51	0.4026372455
52	0.4021905636
53	0.4017953566
54	0.4013377491
55	0.4007806579
56	0.4007738838
57	0.4004944965
58	0.4002604307
59	0.3999652166
60	0.3997023934
61	0.3996929953
62	0.3993728471
63	0.3989589437
64	0.3986270034
65	0.3984233522
66	0.3983676791
67	0.3981627986
68	0.3979630972
69	0.3977762264
70	0.3976038279
71	0.3973748011
72	0.3972784155
73	0.397125682
74	0.3971247068
75	0.3969925248
76	0.3969863974
77	0.3969680914
78	0.3968495519
79	0.3964131298
80	0.3961794354
81	0.3961375785
82	0.3961304034
83	0.3961108799
84	0.3959608801
85	0.3959143196
86	0.3958237431
87	0.3955540528
88	0.3955293946
89	0.3954692748
90	0.3954479753
91	0.3954084696
92	0.3953676344
93	0.3952691154
94	0.3949005873
95	0.3948694124
96	0.3948401458
97	0.3947571368
98	0.3944915628
99	0.3944889489
