iter	Passed	Remaining
0	87	34936
1	113	22523
2	137	18219
3	161	15964
4	183	14469
5	209	13789
6	232	13068
7	253	12418
8	279	12138
9	307	12009
10	330	11670
11	347	11247
12	369	11001
13	390	10762
14	412	10591
15	432	10385
16	454	10245
17	478	10161
18	495	9940
19	520	9894
20	543	9811
21	567	9751
22	588	9643
23	609	9546
24	632	9480
25	655	9428
26	675	9336
27	699	9292
28	722	9248
29	737	9097
30	750	8932
31	771	8877
32	791	8800
33	812	8751
34	833	8694
35	858	8675
36	879	8628
37	901	8585
38	925	8568
39	936	8428
40	953	8352
41	976	8324
42	998	8288
43	1020	8257
44	1041	8213
45	1060	8164
46	1083	8137
47	1106	8116
48	1126	8072
49	1148	8038
50	1171	8017
51	1192	7977
52	1217	7968
53	1239	7942
54	1247	7824
55	1269	7798
56	1291	7770
57	1314	7749
58	1336	7724
59	1356	7688
60	1376	7650
61	1399	7626
62	1422	7609
63	1433	7525
64	1456	7508
65	1479	7484
66	1499	7452
67	1523	7437
68	1545	7415
69	1568	7396
70	1592	7378
71	1614	7355
72	1636	7330
73	1644	7245
74	1666	7222
75	1689	7204
76	1711	7178
77	1735	7163
78	1743	7083
79	1757	7029
80	1774	6986
81	1797	6971
82	1820	6952
83	1840	6923
84	1861	6897
85	1874	6842
86	1894	6816
87	1919	6806
88	1942	6786
89	1958	6745
90	1982	6730
91	2003	6708
92	2023	6678
93	2044	6655
94	2064	6627
95	2086	6608
96	2106	6579
97	2114	6516
98	2135	6494
99	2157	6471
100	2181	6458
101	2203	6436
102	2222	6408
103	2240	6378
104	2261	6353
105	2284	6335
106	2307	6319
107	2331	6303
108	2354	6284
109	2374	6261
110	2398	6245
111	2418	6218
112	2441	6200
113	2449	6143
114	2469	6119
115	2489	6095
116	2510	6072
117	2536	6060
118	2556	6036
119	2581	6022
120	2604	6005
121	2620	5970
122	2626	5916
123	2649	5898
124	2672	5878
125	2685	5839
126	2708	5821
127	2730	5803
128	2747	5771
129	2756	5725
130	2777	5702
131	2792	5670
132	2813	5647
133	2835	5629
134	2856	5607
135	2881	5593
136	2903	5574
137	2927	5558
138	2942	5524
139	2965	5507
140	2987	5487
141	2998	5448
142	3018	5424
143	3041	5407
144	3050	5363
145	3071	5343
146	3095	5327
147	3107	5290
148	3130	5273
149	3153	5256
150	3169	5227
151	3194	5211
152	3209	5181
153	3228	5156
154	3251	5139
155	3271	5116
156	3295	5100
157	3316	5080
158	3340	5063
159	3363	5045
160	3388	5030
161	3414	5016
162	3438	4999
163	3459	4978
164	3483	4961
165	3499	4932
166	3521	4913
167	3537	4885
168	3561	4868
169	3584	4849
170	3604	4827
171	3625	4806
172	3630	4763
173	3652	4744
174	3673	4722
175	3695	4702
176	3705	4668
177	3729	4651
178	3750	4630
179	3773	4612
180	3778	4571
181	3796	4547
182	3819	4528
183	3842	4510
184	3866	4493
185	3889	4474
186	3910	4454
187	3918	4418
188	3940	4399
189	3961	4377
190	3984	4360
191	4007	4341
192	4013	4304
193	4036	4286
194	4059	4267
195	4083	4250
196	4106	4232
197	4132	4216
198	4157	4199
199	4180	4180
200	4204	4162
201	4228	4144
202	4249	4124
203	4271	4103
204	4279	4070
205	4302	4051
206	4325	4032
207	4347	4013
208	4371	3994
209	4392	3974
210	4415	3955
211	4438	3936
212	4461	3917
213	4473	3888
214	4496	3869
215	4518	3848
216	4541	3829
217	4560	3807
218	4582	3787
219	4604	3767
220	4628	3748
221	4651	3729
222	4673	3709
223	4697	3690
224	4715	3667
225	4734	3645
226	4758	3626
227	4779	3605
228	4804	3587
229	4828	3568
230	4852	3550
231	4875	3530
232	4899	3511
233	4923	3492
234	4946	3472
235	4971	3454
236	4992	3433
237	5018	3415
238	5041	3396
239	5061	3374
240	5084	3354
241	5107	3334
242	5132	3316
243	5155	3296
244	5177	3275
245	5201	3256
246	5225	3236
247	5248	3216
248	5275	3198
249	5298	3179
250	5322	3159
251	5345	3139
252	5368	3119
253	5392	3099
254	5415	3079
255	5438	3059
256	5461	3038
257	5485	3019
258	5508	2998
259	5531	2978
260	5554	2958
261	5579	2938
262	5602	2918
263	5625	2898
264	5649	2877
265	5673	2857
266	5697	2837
267	5721	2817
268	5744	2797
269	5772	2779
270	5813	2767
271	5850	2753
272	5875	2733
273	5901	2713
274	5932	2696
275	5958	2676
276	5984	2657
277	6009	2637
278	6033	2616
279	6058	2596
280	6083	2576
281	6108	2555
282	6129	2534
283	6155	2514
284	6183	2495
285	6208	2474
286	6231	2453
287	6257	2433
288	6282	2413
289	6307	2392
290	6330	2371
291	6355	2350
292	6381	2330
293	6402	2308
